bootcamp_name,course,location,rating,financing_option,ISA,topics,next_batch,cost,website,logo_url
Le Wagon,Web Development,São Paulo,4.98,Yes,Yes,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","R$19,900",https://www.lewagon.com/sao-paulo/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Santiago,4.98,No,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Aug 22, 2022","4,150,000 CLP",https://www.lewagon.com/santiago/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Rio de Janeiro,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 3, 2022",,https://www.lewagon.com/rio/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Shanghai,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","44,800 CNY",https://www.lewagon.com/shanghai/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Shanghai,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","39,800 CNY",https://www.lewagon.com/shanghai/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Tokyo,4.98,Yes,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 3, 2022","790,000 JPY",https://www.lewagon.com/tokyo/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Santiago,4.98,No,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","4,150,000 CLP",https://www.lewagon.com/santiago/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Rennes,4.98,No,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 10, 2022","6,000 €",https://www.lewagon.com/rennes/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Web Development,Online,4.98,No,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 3, 2022","12,000 AUD",https://www.lewagon.com/remote/web-development-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
Le Wagon,Data Science,Online,4.98,No,No,"Python, matplotlib, seaborn, Relational Database, SQL, Statistics, Probability, Linear Algebra, Machine Learning, Scikit-learn, Deep Learning, Data Engineering, Jupyter, Google Cloud Platform, MLflow","Oct 3, 2022","12,500 AUD",https://www.lewagon.com/remote/data-science-course/full-time,https://coursereport-production.imgix.net/uploads/school/logo/153/original/Icon_Red.png?w=100&h=100&dpr=1&q=75
