bootcamp_name,course,location,rating,financing_option,ISA,topics,next_batch,cost,website,logo_url
Bloomtech,Web3,Online,4.26,No,No,"Ethereum, Smart Contract Syntax, Solidity Programming, Testing Smart Contracts, Ethereum Virtual Machine, GraphQL, ERC20 and NFT Tokens, Blockchain Cryptography, Decentralized Finance (DeFi), Hacking Smart Contracts",Flexible Schedule,"$5,500",https://www.bloomtech.com/courses/web3,https://coursereport-production.imgix.net/uploads/school/logo/408/original/Bloom_Institute_of_Technology_logo.png?w=200&h=200&dpr=1&q=75
Bloomtech,Backend Development,Online,4.26,Yes,No,"Java Foundations, Java Programming, Testing, Software Engineering, Data Structures , Algorithms, DynamoDB, Concurrency",Flexible Schedule,"$21,950",https://www.bloomtech.com/courses/backend-development,https://coursereport-production.imgix.net/uploads/school/logo/408/original/Bloom_Institute_of_Technology_logo.png?w=200&h=200&dpr=1&q=75
Bloomtech,Data Science,Online,4.26,Yes,No,"Python, SQL & Databases, Data Visualization, Linear Algebra & Statistical Analysis, Machine Learning, Deep Learning & ML Ops, Computer Vision, Natural Language Processing",Flexible Schedule,"$21,950",https://www.bloomtech.com/courses/data-science,https://coursereport-production.imgix.net/uploads/school/logo/408/original/Bloom_Institute_of_Technology_logo.png?w=200&h=200&dpr=1&q=75
Bloomtech,Full Stack Web Dev,Online,4.26,Yes,No,"JavaScript, HTML, CSS, NodeJS, React, Redux, Python, SQL",Flexible Schedule,"$21,950",https://www.bloomtech.com/courses/full-stack-web-development,https://coursereport-production.imgix.net/uploads/school/logo/408/original/Bloom_Institute_of_Technology_logo.png?w=200&h=200&dpr=1&q=75
